"",date,day_of_week,day_name,is_weekend,month,year,day_of_year,week_of_year,academic_period,period_type,seasonal_multiplier,period_description,total_enrollment,active_enrollment,residential_students,commuter_students,total_meal_plan_holders,enrollment_seasonal_factor,weather,weather_impact,campus_event,event_impact,event_scheduled,total_transactions,guest_transactions,base_transaction_rate,meal_swipes,dining_dollars_transactions,bronco_bucks_transactions,credit_debit_transactions,breakfast_transactions,lunch_transactions,dinner_transactions,late_night_transactions,estimated_daily_revenue,avg_transaction_value,labor_cost_actual,transactions_per_meal_plan_holder,facility_capacity_utilization,peak_meal_period_volume,actual_foh_general,actual_foh_cashier,actual_kitchen_prep,actual_kitchen_line,actual_dish_room,actual_management,total_actual_hours,revenue_per_labor_hour,transactions_per_labor_hour,labor_cost_percentage
17,2024-01-18,3,Thursday,False,1,2024,18,3,spring_semester,regular,0.96,Regular spring semester,31042,29800,5066,24734,6995,0.96,rainy,1.147,regular_day,1.00,False,1702,81,0.2044,1664,23,8,7,306,885,459,52,22551.50,13.25,3129.38,0.243,1.000000,885,35.9,16.0,33.5,49.2,23.9,8.4,166.9,135.12,10.20,13.9
18,2024-01-19,4,Friday,False,1,2024,19,3,spring_semester,regular,0.96,Regular spring semester,31044,29802,5066,24736,6995,0.96,sunny,1.000,regular_day,1.00,False,1282,61,0.2044,1253,17,6,6,230,666,346,40,16986.50,13.25,2002.50,0.183,0.754118,666,21.7,10.0,22.5,32.4,14.4,5.8,106.8,159.05,12.00,11.8
19,2024-01-20,5,Saturday,True,1,2024,20,3,spring_semester,regular,0.96,Regular spring semester,31046,29804,5066,24738,6995,0.96,cloudy,1.023,regular_day,1.00,False,1046,49,0.2044,1022,14,5,5,188,543,282,33,13859.50,13.25,1291.88,0.150,0.615294,543,14.0,6.5,14.5,20.9,9.3,3.7,68.9,201.15,15.18,9.3
20,2024-01-21,6,Sunday,True,1,2024,21,3,spring_semester,regular,0.96,Regular spring semester,31049,29807,5067,24740,6996,0.96,sunny,1.000,regular_day,1.00,False,1181,56,0.2044,1155,16,5,5,212,614,318,37,15648.25,13.25,1415.62,0.169,0.694706,614,15.3,7.1,15.9,22.9,10.2,4.1,75.5,207.26,15.64,9.0
21,2024-01-22,0,Monday,False,1,2024,22,4,spring_semester,regular,0.96,Regular spring semester,31051,29808,5067,24741,6996,0.96,sunny,1.000,sports_events,1.12,False,1485,70,0.2044,1452,20,7,6,267,772,400,46,19676.25,13.25,2227.50,0.212,0.873529,772,24.1,11.2,25.0,36.0,16.1,6.4,118.8,165.62,12.50,11.3
22,2024-01-23,1,Tuesday,False,1,2024,23,4,spring_semester,regular,0.96,Regular spring semester,31053,29810,5067,24743,6996,0.96,sunny,1.000,club_fair,1.34,True,2028,96,0.2044,1983,28,10,7,365,1054,547,62,26871.00,13.25,3660.00,0.290,1.000000,1054,42.0,18.7,39.2,57.5,28.0,9.8,195.2,137.66,10.39,13.6
23,2024-01-24,2,Wednesday,False,1,2024,24,4,spring_semester,regular,0.96,Regular spring semester,31056,29813,5068,24745,6998,0.96,sunny,1.000,club_fair,1.34,True,2086,99,0.2044,2040,29,10,7,375,1084,563,64,27639.50,13.25,3736.87,0.298,1.000000,1084,42.9,19.1,40.0,58.7,28.6,10.0,199.3,138.68,10.47,13.5
24,2024-01-25,3,Thursday,False,1,2024,25,4,spring_semester,regular,0.96,Regular spring semester,31058,29815,5068,24747,6998,0.96,sunny,1.000,club_fair,1.34,True,1990,94,0.2044,1946,27,9,8,358,1034,537,61,26367.50,13.25,3607.50,0.284,1.000000,1034,41.4,18.4,38.6,56.7,27.6,9.7,192.4,137.05,10.34,13.7
25,2024-01-26,4,Friday,False,1,2024,26,4,spring_semester,regular,0.96,Regular spring semester,31060,29817,5068,24749,6998,0.96,rainy,1.147,prospective_student_day,1.19,False,1751,83,0.2044,1712,24,8,7,315,910,472,54,23200.75,13.25,3195.00,0.250,1.000000,910,36.7,16.3,34.2,50.2,24.4,8.6,170.4,136.15,10.28,13.8
26,2024-01-27,5,Saturday,True,1,2024,27,4,spring_semester,regular,0.96,Regular spring semester,31063,29820,5069,24751,6999,0.96,rainy,1.147,club_fair,1.34,True,1573,74,0.2044,1538,22,7,6,283,817,424,49,20842.25,13.25,2371.88,0.225,0.925294,817,27.2,12.1,25.4,37.3,18.1,6.4,126.5,164.76,12.43,11.4
27,2024-01-28,6,Sunday,True,1,2024,28,4,spring_semester,regular,0.96,Regular spring semester,31065,29822,5069,24753,6999,0.96,rainy,1.147,regular_day,1.00,False,1356,64,0.2044,1326,18,6,6,244,705,366,41,17967.00,13.25,1627.50,0.194,0.797647,705,17.6,8.2,18.3,26.3,11.7,4.7,86.8,206.99,15.62,9.1
28,2024-01-29,0,Monday,False,1,2024,29,5,spring_semester,regular,0.96,Regular spring semester,31068,29825,5070,24755,7000,0.96,sunny,1.000,regular_day,1.00,False,1326,63,0.2044,1296,18,6,6,238,689,358,41,17569.50,13.25,2051.25,0.189,0.780000,689,22.2,10.3,23.0,33.2,14.8,5.9,109.4,160.60,12.12,11.7
29,2024-01-30,1,Tuesday,False,1,2024,30,5,spring_semester,regular,0.96,Regular spring semester,31070,29827,5070,24757,7001,0.96,sunny,1.000,regular_day,1.00,False,1514,72,0.2044,1480,21,7,6,272,787,408,47,20060.50,13.25,2259.37,0.216,0.890588,787,24.5,11.3,25.4,36.5,16.3,6.5,120.5,166.48,12.56,11.3
30,2024-01-31,2,Wednesday,False,1,2024,31,5,spring_semester,regular,0.96,Regular spring semester,31072,29829,5070,24759,7001,0.96,sunny,1.000,club_fair,1.34,False,2087,99,0.2044,2041,29,10,7,375,1085,563,64,27652.75,13.25,3736.87,0.298,1.000000,1085,42.9,19.1,40.0,58.7,28.6,10.0,199.3,138.75,10.47,13.5
31,2024-02-01,3,Thursday,False,2,2024,32,5,spring_semester,regular,0.96,Regular spring semester,31075,29832,5071,24761,7002,0.96,sunny,1.000,regular_day,1.00,False,1485,70,0.2044,1452,20,7,6,267,772,400,46,19676.25,13.25,2227.50,0.212,0.873529,772,24.1,11.2,25.0,36.0,16.1,6.4,118.8,165.62,12.50,11.3
32,2024-02-02,4,Friday,False,2,2024,33,5,spring_semester,regular,0.96,Regular spring semester,31077,29833,5071,24762,7002,0.96,sunny,1.000,regular_day,1.00,False,1283,61,0.2044,1254,17,6,6,230,667,346,40,16999.75,13.25,2004.37,0.183,0.754706,667,21.7,10.1,22.5,32.4,14.4,5.8,106.9,159.02,12.00,11.8
33,2024-02-03,5,Saturday,True,2,2024,34,5,spring_semester,regular,0.96,Regular spring semester,31079,29835,5071,24764,7002,0.96,cloudy,1.023,regular_day,1.00,False,1047,49,0.2044,1023,14,5,5,188,544,282,33,13872.75,13.25,1291.88,0.150,0.615882,544,14.0,6.5,14.5,20.9,9.3,3.7,68.9,201.35,15.20,9.3
34,2024-02-04,6,Sunday,True,2,2024,35,5,spring_semester,regular,0.96,Regular spring semester,31082,29838,5072,24766,7003,0.96,rainy,1.147,regular_day,1.00,False,1357,64,0.2044,1327,18,6,6,244,705,366,42,17980.25,13.25,1627.50,0.194,0.798235,705,17.6,8.2,18.3,26.3,11.7,4.7,86.8,207.15,15.63,9.1
35,2024-02-05,0,Monday,False,2,2024,36,6,spring_semester,regular,0.96,Regular spring semester,31084,29840,5072,24768,7003,0.96,sunny,1.000,regular_day,1.00,False,1327,63,0.2044,1297,18,6,6,238,690,358,41,17582.75,13.25,2051.25,0.189,0.780588,690,22.2,10.3,23.0,33.2,14.8,5.9,109.4,160.72,12.13,11.7
36,2024-02-06,1,Tuesday,False,2,2024,37,6,spring_semester,regular,0.96,Regular spring semester,31086,29842,5073,24769,7004,0.96,cloudy,1.023,regular_day,1.00,False,1550,73,0.2044,1515,21,7,7,279,806,418,47,20537.50,13.25,2810.62,0.221,0.911765,806,32.3,14.3,30.1,44.2,21.5,7.5,149.9,137.01,10.34,13.7
37,2024-02-07,2,Wednesday,False,2,2024,38,6,spring_semester,regular,0.96,Regular spring semester,31089,29845,5073,24772,7005,0.96,cloudy,1.023,regular_day,1.00,False,1594,75,0.2044,1558,22,7,7,286,828,430,50,21120.50,13.25,2866.88,0.228,0.937647,828,32.9,14.6,30.7,45.1,21.9,7.7,152.9,138.13,10.43,13.6
38,2024-02-08,3,Thursday,False,2,2024,39,6,spring_semester,regular,0.96,Regular spring semester,31091,29847,5073,24774,7005,0.96,sunny,1.000,regular_day,1.00,False,1486,70,0.2044,1453,20,7,6,267,772,401,46,19689.50,13.25,2231.25,0.212,0.874118,772,24.2,11.2,25.0,36.1,16.1,6.4,119.0,165.46,12.49,11.3
39,2024-02-09,4,Friday,False,2,2024,40,6,spring_semester,regular,0.96,Regular spring semester,31093,29849,5074,24775,7006,0.96,sunny,1.000,career_fair,1.23,False,1580,75,0.2044,1545,22,7,6,284,821,426,49,20935.00,13.25,3050.63,0.226,0.929412,821,35.0,15.6,32.7,47.9,23.3,8.2,162.7,128.67,9.71,14.6
40,2024-02-10,5,Saturday,True,2,2024,41,6,spring_semester,regular,0.96,Regular spring semester,31096,29852,5074,24778,7006,0.96,cloudy,1.023,regular_day,1.00,False,1048,49,0.2044,1024,14,5,5,188,544,282,34,13886.00,13.25,1293.75,0.150,0.616471,544,14.0,6.5,14.5,21.0,9.3,3.7,69.0,201.25,15.19,9.3
41,2024-02-11,6,Sunday,True,2,2024,42,6,spring_semester,regular,0.96,Regular spring semester,31098,29854,5075,24779,7007,0.96,sunny,1.000,regular_day,1.00,False,1183,56,0.2044,1156,16,5,6,212,615,319,37,15674.75,13.25,1415.62,0.169,0.695882,615,15.3,7.1,15.9,22.9,10.2,4.1,75.5,207.61,15.67,9.0
42,2024-02-12,0,Monday,False,2,2024,43,7,spring_semester,regular,0.96,Regular spring semester,31100,29856,5075,24781,7007,0.96,sunny,1.000,regular_day,1.00,False,1328,63,0.2044,1298,18,6,6,239,690,358,41,17596.00,13.25,2051.25,0.190,0.781176,690,22.2,10.3,23.0,33.2,14.8,5.9,109.4,160.84,12.14,11.7
43,2024-02-13,1,Tuesday,False,2,2024,44,7,spring_semester,regular,0.96,Regular spring semester,31103,29858,5075,24783,7008,0.96,cloudy,1.023,sports_events,1.12,False,1737,82,0.2044,1698,24,8,7,312,903,468,54,23015.25,13.25,3056.25,0.248,1.000000,903,35.1,15.6,32.7,48.0,23.4,8.2,163.0,141.20,10.66,13.3
44,2024-02-14,2,Wednesday,False,2,2024,45,7,spring_semester,regular,0.96,Regular spring semester,31105,29860,5076,24784,7009,0.96,sunny,1.000,regular_day,1.00,False,1559,74,0.2044,1524,21,7,7,280,810,420,49,20656.75,13.25,2823.75,0.222,0.917059,810,32.4,14.4,30.2,44.4,21.6,7.6,150.6,137.16,10.35,13.7
45,2024-02-15,3,Thursday,False,2,2024,46,7,spring_semester,regular,0.96,Regular spring semester,31108,29863,5076,24787,7009,0.96,cloudy,1.023,regular_day,1.00,False,1521,72,0.2044,1487,21,7,6,273,790,410,48,20153.25,13.25,2270.62,0.217,0.894706,790,24.6,11.4,25.4,36.7,16.4,6.6,121.1,166.42,12.56,11.3
46,2024-02-16,4,Friday,False,2,2024,47,7,spring_semester,regular,0.96,Regular spring semester,31110,29865,5077,24788,7010,0.96,sunny,1.000,regular_day,1.00,False,1285,61,0.2044,1256,17,6,6,231,668,346,40,17026.25,13.25,2006.25,0.183,0.755882,668,21.7,10.1,22.5,32.4,14.5,5.8,107.0,159.12,12.01,11.8
47,2024-02-17,5,Saturday,True,2,2024,48,7,spring_semester,regular,0.96,Regular spring semester,31112,29867,5077,24790,7010,0.96,sunny,1.000,regular_day,1.00,False,1025,48,0.2044,1002,14,5,4,184,533,276,32,13581.25,13.25,1275.00,0.146,0.602941,533,13.8,6.4,14.3,20.6,9.2,3.7,68.0,199.72,15.07,9.4
48,2024-02-18,6,Sunday,True,2,2024,49,7,spring_semester,regular,0.96,Regular spring semester,31115,29870,5077,24793,7010,0.96,sunny,1.000,career_fair,1.23,True,1456,69,0.2044,1423,20,7,6,262,757,393,44,19292.00,13.25,1762.50,0.208,0.856471,757,19.1,8.8,19.8,28.5,12.7,5.1,94.0,205.23,15.49,9.1
49,2024-02-19,0,Monday,False,2,2024,50,8,spring_semester,regular,0.96,Regular spring semester,31117,29872,5078,24794,7011,0.96,sunny,1.000,career_fair,1.23,True,1634,77,0.2044,1598,22,8,6,294,849,441,50,21650.50,13.25,3125.63,0.233,0.961176,849,35.9,15.9,33.5,49.1,23.9,8.4,166.7,129.88,9.80,14.4
50,2024-02-20,1,Tuesday,False,2,2024,51,8,spring_semester,regular,0.96,Regular spring semester,31119,29874,5078,24796,7012,0.96,cloudy,1.023,career_fair,1.23,True,1908,90,0.2044,1866,26,9,7,343,992,515,58,25281.00,13.25,3502.50,0.272,1.000000,992,40.2,17.9,37.5,55.0,26.8,9.4,186.8,135.34,10.21,13.9
51,2024-02-21,2,Wednesday,False,2,2024,52,8,spring_semester,regular,0.96,Regular spring semester,31122,29877,5079,24798,7013,0.96,sunny,1.000,regular_day,1.00,False,1560,74,0.2044,1525,21,7,7,280,811,421,48,20670.00,13.25,2823.75,0.222,0.917647,811,32.4,14.4,30.2,44.4,21.6,7.6,150.6,137.25,10.36,13.7
52,2024-02-22,3,Thursday,False,2,2024,53,8,spring_semester,regular,0.96,Regular spring semester,31124,29879,5079,24800,7013,0.96,sunny,1.000,regular_day,1.00,False,1488,70,0.2044,1455,20,7,6,267,773,401,47,19716.00,13.25,2231.25,0.212,0.875294,773,24.2,11.2,25.0,36.1,16.1,6.4,119.0,165.68,12.50,11.3
53,2024-02-23,4,Friday,False,2,2024,54,8,spring_semester,regular,0.96,Regular spring semester,31126,29880,5079,24801,7013,0.96,sunny,1.000,regular_day,1.00,False,1285,61,0.2044,1256,17,6,6,231,668,346,40,17026.25,13.25,2006.25,0.183,0.755882,668,21.7,10.1,22.5,32.4,14.5,5.8,107.0,159.12,12.01,11.8
54,2024-02-24,5,Saturday,True,2,2024,55,8,spring_semester,regular,0.96,Regular spring semester,31129,29883,5080,24803,7014,0.96,sunny,1.000,parent_weekend,1.38,False,1415,67,0.2044,1383,19,7,6,254,735,382,44,18748.75,13.25,1728.75,0.202,0.832353,735,18.7,8.7,19.4,27.9,12.5,5.0,92.2,203.35,15.35,9.2
55,2024-02-25,6,Sunday,True,2,2024,56,8,spring_semester,regular,0.96,Regular spring semester,31131,29885,5080,24805,7014,0.96,cloudy,1.023,regular_day,1.00,False,1212,57,0.2044,1185,16,6,5,218,630,327,37,16059.00,13.25,1441.88,0.173,0.712941,630,15.6,7.2,16.2,23.3,10.4,4.2,76.9,208.83,15.76,9.0
56,2024-02-26,0,Monday,False,2,2024,57,9,spring_semester,regular,0.96,Regular spring semester,31133,29887,5080,24807,7014,0.96,rainy,1.147,regular_day,1.00,False,1524,72,0.2044,1490,21,7,6,274,792,411,47,20193.00,13.25,2362.50,0.217,0.896471,792,25.6,11.9,26.5,38.2,17.0,6.8,126.0,160.26,12.10,11.7
57,2024-02-27,1,Tuesday,False,2,2024,58,9,spring_semester,regular,0.96,Regular spring semester,31136,29890,5081,24809,7016,0.96,sunny,1.000,sports_events,1.12,False,1699,80,0.2044,1661,23,8,7,305,883,458,53,22511.75,13.25,3005.62,0.242,0.999412,883,34.5,15.3,32.2,47.2,23.0,8.1,160.3,140.44,10.60,13.4
58,2024-02-28,2,Wednesday,False,2,2024,59,9,spring_semester,regular,0.96,Regular spring semester,31138,29892,5081,24811,7016,0.96,sunny,1.000,regular_day,1.00,False,1561,74,0.2044,1526,21,7,7,280,811,421,49,20683.25,13.25,2823.75,0.222,0.918235,811,32.4,14.4,30.2,44.4,21.6,7.6,150.6,137.34,10.37,13.7
59,2024-02-29,3,Thursday,False,2,2024,60,9,spring_semester,regular,0.96,Regular spring semester,31140,29894,5081,24813,7016,0.96,rainy,1.147,regular_day,1.00,False,1707,81,0.2044,1669,23,8,7,307,887,460,53,22617.75,13.25,3136.87,0.243,1.000000,887,36.0,16.0,33.6,49.3,24.0,8.4,167.3,135.19,10.20,13.9
60,2024-03-01,4,Friday,False,3,2024,61,9,spring_semester,regular,0.96,Regular spring semester,31143,29897,5082,24815,7017,0.96,sunny,1.000,regular_day,1.00,False,1286,61,0.2044,1257,18,6,5,231,668,347,40,17039.50,13.25,2006.25,0.183,0.756471,668,21.7,10.1,22.5,32.4,14.5,5.8,107.0,159.25,12.02,11.8
61,2024-03-02,5,Saturday,True,3,2024,62,9,spring_semester,regular,0.96,Regular spring semester,31145,29899,5082,24817,7017,0.96,sunny,1.000,regular_day,1.00,False,1026,48,0.2044,1003,14,5,4,184,533,277,32,13594.50,13.25,1275.00,0.146,0.603529,533,13.8,6.4,14.3,20.6,9.2,3.7,68.0,199.92,15.09,9.4
62,2024-03-03,6,Sunday,True,3,2024,63,9,spring_semester,regular,0.96,Regular spring semester,31148,29902,5083,24819,7018,0.96,cloudy,1.023,regular_day,1.00,False,1212,57,0.2044,1185,16,6,5,218,630,327,37,16059.00,13.25,1441.88,0.173,0.712941,630,15.6,7.2,16.2,23.3,10.4,4.2,76.9,208.83,15.76,9.0
63,2024-03-04,0,Monday,False,3,2024,64,10,spring_semester,regular,0.96,Regular spring semester,31150,29904,5083,24821,7019,0.96,sunny,1.000,regular_day,1.00,False,1330,63,0.2044,1300,18,6,6,239,691,359,41,17622.50,13.25,2055.00,0.189,0.782353,691,22.3,10.3,23.1,33.2,14.8,5.9,109.6,160.79,12.14,11.7
64,2024-03-05,1,Tuesday,False,3,2024,65,10,spring_semester,regular,0.96,Regular spring semester,31152,29905,5083,24822,7019,0.96,sunny,1.000,regular_day,1.00,False,1518,72,0.2044,1484,21,7,6,273,789,409,47,20113.50,13.25,2263.12,0.216,0.892941,789,24.5,11.4,25.4,36.6,16.3,6.5,120.7,166.64,12.58,11.3
65,2024-03-06,2,Wednesday,False,3,2024,66,10,spring_semester,regular,0.96,Regular spring semester,31155,29908,5084,24824,7020,0.96,sunny,1.000,prospective_student_day,1.19,False,1858,88,0.2044,1817,26,9,6,334,966,501,57,24618.50,13.25,3206.25,0.265,1.000000,966,36.8,16.4,34.3,50.4,24.5,8.6,171.0,143.97,10.87,13.0
66,2024-03-07,3,Thursday,False,3,2024,67,10,spring_semester,regular,0.96,Regular spring semester,31157,29910,5084,24826,7020,0.96,sunny,1.000,regular_day,1.00,False,1489,70,0.2044,1456,20,7,6,268,774,402,45,19729.25,13.25,2233.12,0.212,0.875882,774,24.2,11.2,25.1,36.1,16.1,6.4,119.1,165.65,12.50,11.3
67,2024-03-08,4,Friday,False,3,2024,68,10,spring_semester,regular,0.96,Regular spring semester,31159,29912,5085,24827,7021,0.96,sunny,1.000,regular_day,1.00,False,1287,61,0.2044,1258,18,6,5,231,669,347,40,17052.75,13.25,2008.12,0.183,0.757059,669,21.7,10.1,22.5,32.5,14.5,5.8,107.1,159.22,12.02,11.8
68,2024-03-09,5,Saturday,True,3,2024,69,10,spring_semester,regular,0.96,Regular spring semester,31162,29915,5085,24830,7021,0.96,rainy,1.147,conference_hosting,1.16,False,1366,65,0.2044,1335,19,6,6,245,710,368,43,18099.50,13.25,1633.12,0.195,0.803529,710,17.7,8.2,18.3,26.4,11.8,4.7,87.1,207.80,15.68,9.0
69,2024-03-10,6,Sunday,True,3,2024,70,10,spring_semester,regular,0.96,Regular spring semester,31164,29917,5085,24832,7021,0.96,sunny,1.000,regular_day,1.00,False,1186,56,0.2044,1159,16,5,6,213,616,320,37,15714.50,13.25,1417.50,0.169,0.697647,616,15.4,7.1,15.9,22.9,10.2,4.1,75.6,207.86,15.69,9.0
70,2024-03-11,0,Monday,False,3,2024,71,11,spring_semester,regular,0.96,Regular spring semester,31166,29919,5086,24833,7022,0.96,sunny,1.000,regular_day,1.00,False,1331,63,0.2044,1301,18,6,6,239,692,359,41,17635.75,13.25,2056.88,0.190,0.782941,692,22.3,10.3,23.1,33.3,14.8,5.9,109.7,160.76,12.13,11.7
71,2024-03-12,1,Tuesday,False,3,2024,72,11,spring_semester,regular,0.96,Regular spring semester,31169,29922,5086,24836,7023,0.96,sunny,1.000,regular_day,1.00,False,1519,72,0.2044,1485,21,7,6,273,789,410,47,20126.75,13.25,2263.12,0.216,0.893529,789,24.5,11.4,25.4,36.6,16.3,6.5,120.7,166.75,12.58,11.2
72,2024-03-13,2,Wednesday,False,3,2024,73,11,spring_semester,regular,0.96,Regular spring semester,31171,29924,5087,24837,7024,0.96,sunny,1.000,regular_day,1.00,False,1562,74,0.2044,1527,21,7,7,281,812,421,48,20696.50,13.25,2827.50,0.222,0.918824,812,32.5,14.4,30.3,44.4,21.6,7.6,150.8,137.24,10.36,13.7
73,2024-03-14,3,Thursday,False,3,2024,74,11,spring_semester,regular,0.96,Regular spring semester,31173,29926,5087,24839,7024,0.96,sunny,1.000,sports_events,1.12,False,1669,79,0.2044,1632,23,8,6,300,867,450,52,22114.25,13.25,2966.25,0.238,0.981765,867,34.1,15.1,31.8,46.6,22.7,7.9,158.2,139.79,10.55,13.4
